filename,description
clo_bra.png,"a simple women's bra (basic everyday style) on the upper torso only with no other clothing"
clo_panties.png,"plain women's panties (briefs cut) on the lower torso only with no other clothing"
clo_mens_briefs.png,"plain men's briefs underwear on the lower torso only with no other clothing"
clo_tshirt.png,"a plain short-sleeve crew-neck cotton T-shirt on the upper body with no pants"
clo_half_slip.png,"a half-slip undergarment (skirt-like, knee length) on the lower body only with no top"
clo_long_underwear_bottoms.png,"long underwear bottoms (close-fitting thermal leggings) on the lower body only with no top"
clo_full_slip.png,"a full-length slip undergarment covering from chest to knees with thin straps over the shoulders"
clo_long_underwear_top.png,"a close-fitting long-sleeve thermal underwear top on the upper body only with no pants"
clo_ankle_length_athletic_socks.png,"ultra-short no-show ankle socks that end right at the ankle bone (just barely visible above the shoe line, like running ""no-show"" socks). They must NOT be crew length, NOT calf length, NOT reaching the mid-calf. Only a tiny strip of sock is visible above the foot."
clo_pantyhose_stockings.png,"sheer pantyhose / stockings covering the lower body from waist to feet with no other clothing"
clo_sandals_thongs.png,"a pair of thong sandals (flip-flops) on the feet only with the rest of the mannequin unclothed"
clo_shoes.png,"a pair of plain low-cut dress shoes on the feet only with the rest of the mannequin unclothed"
clo_slippers.png,"soft indoor slippers on the feet only with the rest of the mannequin unclothed"
clo_calf_length_socks.png,"calf-length socks reaching mid-calf on the feet with the rest of the mannequin unclothed"
clo_knee_socks_thick.png,"thick knee-high socks reaching just below the knee with the rest of the mannequin unclothed"
clo_boots.png,"a pair of ankle-high boots on the feet only with the rest of the mannequin unclothed"
clo_sleeveless.png,"a plain sleeveless blouse (tank top style with regular straps) on the upper body only"
clo_short_sleeve_knit.png,"a short-sleeve knit shirt with visible fine knit texture pattern on the upper body only"
clo_short_sleeve_dress_shirt.png,"a short-sleeve button-down dress shirt with collar and a visible front button placket on the upper body only"
clo_long_sleeve_dress_shirt.png,"a long-sleeve button-down dress shirt with collar and a visible front button placket on the upper body only"
clo_long_sleeve_flannel.png,"a long-sleeve flannel shirt with a subtle plaid pattern rendered in grayscale, buttoned, on the upper body only"
clo_long_sleeve_sweat_shirt.png,"a long-sleeve thick crew-neck sweatshirt (no hood) on the upper body only"
clo_short_shorts.png,"short shorts ending high on the thigh on the lower body only"
clo_walking_shorts.png,"knee-length walking shorts on the lower body only"
clo_straight_trousers_thin.png,"thin lightweight straight-leg trousers on the lower body only"
clo_straight_trousers_thick.png,"thick heavy straight-leg wool trousers on the lower body only"
clo_sweatpants.png,"loose sweatpants with elastic ankle cuffs on the lower body only"
clo_overalls.png,"denim-style bib overalls covering torso and legs with two shoulder straps over a bare upper body"
clo_coveralls.png,"full-body one-piece work coveralls with long sleeves and full-length legs covering the entire body except hands and feet"
clo_skirt_thin.png,"a thin lightweight knee-length skirt on the lower body only"
clo_skirt_thick.png,"a thick heavy knee-length winter skirt on the lower body only"
clo_sleeveless_thin.png,"a thin sleeveless knee-length dress covering torso and upper legs"
clo_sleeveless_thick.png,"a thick winter-weight sleeveless knee-length dress covering torso and upper legs"
clo_short_sleeve_shirt_dress_thin.png,"a thin short-sleeve shirt-dress (collared, button-front, knee length)"
clo_long_sleeve_shirt_dress_thin.png,"a thin long-sleeve shirt-dress (collared, button-front, knee length)"
clo_long_sleeve_shirt_dress_thick.png,"a thick heavy-fabric long-sleeve shirt-dress (collared, button-front, knee length)"
clo_sleeveless_sweat_vest_thin.png,"a thin sleeveless fine-knit sweater vest with subtle knit texture on the upper body only"
clo_sleeveless_sweat_vest_thick.png,"a thick chunky sleeveless knit sweater vest with bold knit ribbing on the upper body only"
clo_long_sleeve_thin.png,"a thin long-sleeve fine-knit pullover sweater on the upper body only"
clo_long_sleeve_thick.png,"a thick chunky long-sleeve knit pullover sweater with bold cable-knit pattern on the upper body only"
clo_sleeveless_vest_thin.png,"a thin formal sleeveless suit vest with V-neck and visible front buttons on the upper body only"
clo_sleeveless_vest_thick.png,"a thick wool formal sleeveless suit vest with V-neck and visible front buttons on the upper body only"
clo_single_breasted_thin.png,"a thin single-breasted suit jacket with one row of buttons and notch lapels, unbuttoned, on the upper body only"
clo_single_breasted_thick.png,"a thick wool single-breasted suit jacket with one row of buttons and notch lapels, unbuttoned, on the upper body only"
clo_double_breasted_thin.png,"a thin double-breasted suit jacket with two rows of buttons and wide peak lapels on the upper body only"
clo_double_breasted_thick.png,"a thick wool double-breasted suit jacket with two rows of buttons and wide peak lapels on the upper body only"
clo_sleeveless_short_gown_thin.png,"a thin sleeveless short nightgown (knee length, simple A-line cut)"
clo_sleeveless_long_gown_thin.png,"a thin sleeveless long nightgown (ankle length, simple A-line cut)"
clo_short_sleeve_hospital_gown.png,"a short-sleeve hospital gown (knee length, plain V-neck, the open back is implied)"
clo_short_sleeve_short_robe_thin.png,"a thin short-sleeve short bathrobe (knee length, belted at the waist, with V-shaped lapels)"
clo_short_sleeve_pajamas_thin.png,"thin short-sleeve pajamas consisting of a button-up short-sleeve top and matching mid-thigh shorts"
clo_long_sleeve_long_gown_thick.png,"a thick long-sleeve long nightgown (ankle length, heavy fabric, modest cut)"
clo_long_sleeve_short_wrap_robe_thick.png,"a thick long-sleeve short wrap robe (knee length, belted at the waist, heavy fabric with V-shaped lapels)"
clo_long_sleeve_pajamas_thick.png,"thick long-sleeve pajamas consisting of a button-up long-sleeve top and matching long pants in heavy fabric"
clo_long_sleeve_long_wrap_robe_thick.png,"a thick long-sleeve long wrap robe (ankle length, belted at the waist, heavy fabric with V-shaped lapels)"
